荒野の中に佇む[人物A]、それを狙う狼たち。この狼たちは[人物B]の意思に従い動く亡霊。[人物A]を助けるために馬を走らせる[人物C]。果たして間に合うのか！？,次回、「黒い闇の彼方に！」,[人物A]の運命やいかに。
[人物A]に記憶を消された[人物B]。[人物B]は[人物A]によって新たな記憶を植え付けられる。[人物A]は[人物C]のことも忘れてしまったのか！？,次回、「赤い花の記憶！」,[人物A]、私を思い出して！
優勝まであと１試合。そんなときに靭帯を損傷したフォワードの[人物A]。それを知ったキーパーの[人物B]は棄権を勧める。しかし、[人物A]は応じない。何も知らず千羽鶴を折り続けるマネージャーの[人物C]。,次回、「勝利の行方は！」,[人物A]、国立は目の前なのに！？
異空間へ繋がるロッカーでエイリアンの卵を目にした[人物A]は、そのまま石のように固まってしまった。[人物A]を蘇らせるためにロッカーの中へ入る[人物B]。待ち受けるのは化け物に姿を変えた[人物C]だった。,次回、「未知との遭遇」,[人物C]、お前は何者だ！
[人物A]との真実の愛を確認した[人物B]。それを知った[人物C]は嫉妬に狂う。なんとしても、ふたりを別れさせたい[人物C]はニセの手紙を送り[人物B]をビルの屋上に呼び出す。,次回、「[人物C]の嫉妬」,[人物B]、それは罠だ。
関ヶ原の戦いのまっただ中にタイムトラベルした[人物A]と[人物B]。そこで[人物C]にそっくりな足軽に命を救われる。しかし、豊臣軍の間者に間違われた[人物A]は徳川軍に捉えられてしまう。[人物B]と[人物C]そっくりの足軽は救出に向かう。,次回、「戦国の救出劇」,[人物A]の運命やいかに！
試験勉強のまったく進まない[人物A]が望遠鏡で星を眺めていると、[人物B]が[人物C]の家の中を伺っているのを目撃する。胸騒ぎに[人物C]にLINEしようとするがなんと電池切れ。,次回、「[人物C]の秘密」,試験勉強そっちのけ！
華々しいデビューを飾った[人物A]。一方、明日にオーディションを控えた[人物B]は今回駄目なら田舎に帰る決意をしている。[人物B]は[人物C]が納得するダンスをすることができるのか！？,次回、「フラダンスはお好き？」,振って！振って！腰振って！
[人物A]の黒魔術で猫に姿を変えられてしまった[人物B]。[人物B]は[人物C]に必死で自分であることを訴えるがわかってもらえない。[人物C]は嬉しそうに[人物B]の頭をなでるばかり。,次回、「猫は3回宙を舞う！」,にゃんでわからにゃいんにゃ～！
出店を控えた[人物A]はどうしても最後の隠し味が決まらない。そこへ訪れた[人物B]から[人物C]の店に50年伝わる秘伝のタレの話を聞く。[人物A]はどうしても手に入れたいと思い[人物C]の店に忍び込む。,次回、「おでんは隠し味が勝負よ！」,でんでんでん、おでんがでん♪
[人物B]の過去を知った[人物A]は台風警報の雨の中、外に飛び出す。それを追いかける[人物C]。しかし、[人物C]の上に折れた街路樹が襲いかかる！,次回、「嵐」,[人物C]の運命やいかに！
お菓子コンテストの当日に現れた元同僚の[人物A]は一流パティシエとなり[人物B]の前に立ちはだかる。[人物C]の元で修行に励んだ二人だが、今では大きな差が！,次回、「しょっぱ甘いショコラ」,私は三流なの？
事故以来死者の声が聞こえるようになった[人物A]は3年前に他界した友、[人物B]の声を聞く。[人物B]は自分が死んだのは自殺ではなく[人物C]に殺されたのだと訴える！,次回、「[人物C]の陰謀！」,[人物C]の魔の手が[人物A]に迫る！
仕事で大失敗して凹む[人物A]。課長の[人物B]に怒鳴られ、咄嗟に[人物C]のせいにしてしまう。外回りから帰ってきた[人物C]に注がれる同僚たちの白い目。今更本当のことを言い出せない[人物A]はどうするのか？,次回、「小心者の出来心」,[人物A]、それはないだろ～。
社長の[人物A]とともに落雷に打たれた平社員の[人物B]。気が付くと二人の心と身体が入れ替わってしまった。この事実をひた隠しにする二人だが、敵対する副社長の[人物C]に知られてしまう！,次回、「社長は平社員」,それでも株価は上向く！
弱小バスケ部の部長の[人物A]は教頭の[人物B]から都大会で初戦敗退した場合には廃部すると宣告されてしまう。そこで、引きこもりで退部したかつてのエース[人物C]を入部させることを画策する。,次回、「初戦敗退はできない！」,[人物C]、スラムダンクを思い出せ！
試合を終えて家路へ向かう[人物A]達。疲れからか、不幸にも黒塗りの高級車に追突してしまう。後輩をかばいすべての責任を負った[人物B]に対し、車の主、暴力団員[人物C]に言い渡された示談の条件とは…。,次回、「極道脅迫！体育部員たちの逆襲」,見れば(免許証)返していただけるんですか？
ついに始まった宇宙大戦。[人物A]は同盟軍を引き連れ打倒[人物B]に乗り出す。しかし、その行く手を阻んだ人間はかつての盟友、[人物C]であった！,次回、「俺たちに明日はない」,楽園など無い。そこにあるのは地獄のみだ。
